1,JUnit 4,https://developer.android.com/training/testing/start/index.html,http://junit.org/
2,Supporting app linking for multiple hosts,https://developer.android.com/training/app-links/index.html,h3
3,Try it out,https://developer.android.com/training/graphics/opengl/environment.html,h2
4,You should also read,https://developer.android.com/training/wearables/ui/layouts.html,h2
5,Dependencies and Prerequisites,https://developer.android.com/training/testing/ui-testing/espresso-testing.html,h2
6,Support Library Setup,https://developer.android.com/training/tv/start/start.html,https://developer.android.com/topic/libraries/support-library/setup.html#libs-with-res
7,queryIntentActivities,https://developer.android.com/training/basics/intents/sending.html,https://developer.android.com/reference/android/content/pm/PackageManager.html#queryIntentActivities(android.content.Intent,%20int)
8,Confirm You Need Multiple APKs,https://developer.android.com/training/multiple-apks/multiple.html,https://developer.android.com/training/multiple.html#Confirm
9,ActionBarCompat-Styled,https://developer.android.com/training/appbar/index.html,https://github.com/googlesamples/android-ActionBarCompat-Styled
10,Processor consistency,https://developer.android.com/training/articles/smp.html,h4
11,You should also read,https://developer.android.com/training/secure-file-sharing/retrieve-info.html,h2
12,Basics,https://developer.android.com/training/testing/espresso/index.html,https://developer.android.com/training/basics.html
13,<uses-sdk>,https://developer.android.com/training/basics/supporting-devices/platforms.html,https://developer.android.com/guide/topics/manifest/uses-sdk-element.html
14,Dependencies and Prerequisites,https://developer.android.com/training/auto/start/index.html,h2
15,Start the video course,https://developer.android.com/training/index.html,https://www.udacity.com/course/ud853
16,MESSAGING_STYLE,https://developer.android.com/training/wearables/notifications/noti-styles.html,https://developer.android.com/reference/android/support/v4/app/NotificationCompat.MessagingStyle.html
17,Match a Contact By a Specific Type of Data,https://developer.android.com/training/contacts-provider/retrieve-names.html,h2
18,TextView,https://developer.android.com/training/transitions/overview.html,https://developer.android.com/reference/android/widget/TextView.html
19,Intents and Intent Filters,https://developer.android.com/training/auto/messaging/index.html,https://developer.android.com/guide/components/intents-filters.html
20,Connect to Google Play services
,https://developer.android.com/training/safetynet/attestation.html,h2
